Select your age group.,Select gender,Please select your undergraduate training.,Please mention your postgraduate qualification. (if any),Please select your work sector. (atleast one),"Shoulder pain is commonly divided into 1 (lasting less than 3 months) and 2. Keep this in mind, please indicate how you record the outcomes of your treatment for patients with A) 1 shoulder pain  B) 2 shoulder pain? Please tick the boxes that apply. [Subjective changes in pain level]","Shoulder pain is commonly divided into 1 (lasting less than 3 months) and 2. Keep this in mind, please indicate how you record the outcomes of your treatment for patients with A) 1 shoulder pain  B) 2 shoulder pain? Please tick the boxes that apply. [Pain maps]","Shoulder pain is commonly divided into 1 (lasting less than 3 months) and 2. Keep this in mind, please indicate how you record the outcomes of your treatment for patients with A) 1 shoulder pain  B) 2 shoulder pain? Please tick the boxes that apply. [The patient's individual goals]","Shoulder pain is commonly divided into 1 (lasting less than 3 months) and 2. Keep this in mind, please indicate how you record the outcomes of your treatment for patients with A) 1 shoulder pain  B) 2 shoulder pain? Please tick the boxes that apply. [Observed improvement in functions]","Shoulder pain is commonly divided into 1 (lasting less than 3 months) and 2. Keep this in mind, please indicate how you record the outcomes of your treatment for patients with A) 1 shoulder pain  B) 2 shoulder pain? Please tick the boxes that apply. [Range of motion]","Shoulder pain is commonly divided into 1 (lasting less than 3 months) and 2. Keep this in mind, please indicate how you record the outcomes of your treatment for patients with A) 1 shoulder pain  B) 2 shoulder pain? Please tick the boxes that apply. [Muscle strength]","Shoulder pain is commonly divided into 1 (lasting less than 3 months) and 2. Keep this in mind, please indicate how you record the outcomes of your treatment for patients with A) 1 shoulder pain  B) 2 shoulder pain? Please tick the boxes that apply. [Clinical outcome measures]",Are you satisfied with the method that you use? Please select one option.,Clinical outcome measures are standardized ways of measuring patient's outcomes. Is the use of clinical outcome measures encouraged in your organization or service sector?,Please mention whether you use outcome measures or 2t.,"Shoulder pain is commonly divided into 1 and 2. If you have used clinical outcome measures, please indicate which of the outcome measures below you have used while treating patients with shoulder pain in the last 6 months. This list contains only a few possible outcome measures. [Athletic shoulder outcome rating scale]","Shoulder pain is commonly divided into 1 and 2. If you have used clinical outcome measures, please indicate which of the outcome measures below you have used while treating patients with shoulder pain in the last 6 months. This list contains only a few possible outcome measures. [Shoulder pain and disability index(SPADI)]","Shoulder pain is commonly divided into 1 and 2. If you have used clinical outcome measures, please indicate which of the outcome measures below you have used while treating patients with shoulder pain in the last 6 months. This list contains only a few possible outcome measures. [American shoulder and elbow surgeon's shoulder evaluation form]","Shoulder pain is commonly divided into 1 and 2. If you have used clinical outcome measures, please indicate which of the outcome measures below you have used while treating patients with shoulder pain in the last 6 months. This list contains only a few possible outcome measures. [12- item Shoulder instability questionnaire]","Shoulder pain is commonly divided into 1 and 2. If you have used clinical outcome measures, please indicate which of the outcome measures below you have used while treating patients with shoulder pain in the last 6 months. This list contains only a few possible outcome measures. [Simple shoulder test questionnaire form]","Shoulder pain is commonly divided into 1 and 2. If you have used clinical outcome measures, please indicate which of the outcome measures below you have used while treating patients with shoulder pain in the last 6 months. This list contains only a few possible outcome measures. [The DASH questionnaire]","Shoulder pain is commonly divided into 1 and 2. If you have used clinical outcome measures, please indicate which of the outcome measures below you have used while treating patients with shoulder pain in the last 6 months. This list contains only a few possible outcome measures. [Short form survey(SF 36)]","Shoulder pain is commonly divided into 1 and 2. If you have used clinical outcome measures, please indicate which of the outcome measures below you have used while treating patients with shoulder pain in the last 6 months. This list contains only a few possible outcome measures. [Pain visual analog scale (VAS)]",factor_1,factor_2,factor_3,factor_4,factor_5,factor_6,factor_7,factor_8,factor_9,factor_10,factor_11,factor_12,factor_13,factor_14,factor_15,factor_16,factor_17,factor_18,factor_19,factor_20,factor_21,factor_22,"In the past year, have you used any of the following resources to obtain information about outcome measures?Please tick the relevant boxes."
2,1,0,3,2,1,2,2,1,2,2,1,1,1,1,2,2,0,2,0,2,0,1,4,4,4,3,3,4,2,1,4,4,3,4,4,1,4,4,4,1,1,3,1,4,2
1,2,2,0,5,2,1,2,2,1,2,2,3,1,2,1,2,2,1,1,1,2,1,2,3,1,2,2,3,2,2,3,1,2,3,3,1,3,3,3,2,1,2,1,3,6
1,1,2,0,1,1,2,1,1,1,1,1,5,2,1,1,1,2,1,1,1,1,2,3,3,3,2,3,2,4,3,2,2,3,2,4,2,3,3,2,3,3,2,2,3,3
3,1,2,0,2,1,2,1,2,2,1,1,2,1,2,0,2,0,0,0,0,0,,2,1,3,1,1,2,1,2,1,1,1,2,1,3,1,1,1,2,2,1,2,1,1
1,1,2,0,2,1,1,2,2,1,1,1,1,1,1,2,2,1,2,1,1,2,2,3,3,2,3,2,3,1,2,3,2,2,3,3,1,3,3,3,2,1,2,1,3,1
1,1,2,0,1,1,2,2,2,1,2,2,1,1,1,2,2,2,2,2,0,2,2,4,3,1,3,4,4,3,1,2,1,1,4,4,1,2,2,4,3,1,4,1,4,4
2,1,2,0,2,1,1,2,2,2,2,2,1,1,1,2,2,2,2,1,2,2,1,3,3,1,1,1,3,3,3,3,3,3,3,1,1,3,3,3,3,3,3,3,3,4
1,1,1,0,1,1,2,1,1,2,2,1,3,1,1,1,1,2,1,2,2,1,2,3,4,2,3,3,3,2,3,4,4,4,4,4,3,3,3,4,4,4,3,4,3,3
2,1,2,3,2,1,1,2,2,2,2,1,2,1,2,2,1,1,2,1,2,1,2,2,2,1,2,2,1,2,1,2,1,1,1,1,1,2,2,2,2,2,1,2,1,4
1,2,2,0,2,1,1,2,2,1,1,1,2,2,1,1,2,1,1,1,1,2,1,1,2,1,1,1,2,1,1,1,2,2,2,1,2,1,1,2,2,2,2,1,1,2
1,2,2,0,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6
1,2,2,0,5,1,2,1,1,2,2,2,2,1,2,2,1,2,1,1,2,1,1,4,4,1,3,4,4,3,4,4,4,3,4,4,4,4,4,4,4,3,3,1,4,1
1,2,2,0,1,1,2,1,1,1,2,2,2,1,1,1,2,1,2,1,2,1,1,2,1,2,2,2,1,3,1,2,3,1,2,3,2,1,1,1,2,2,3,2,1,4
1,1,2,0,2,2,1,2,2,1,2,2,2,1,1,0,0,0,0,0,0,2,1,4,4,3,4,1,4,1,3,4,4,3,4,4,1,4,4,4,1,1,4,4,4,5
4,2,2,3,5,1,1,2,2,2,2,2,2,1,2,0,2,0,0,0,2,0,1,4,4,2,4,4,4,2,3,4,3,4,4,4,2,4,4,4,3,4,4,4,4,1
1,2,2,0,4,2,1,1,2,2,2,1,2,2,2,0,1,1,0,0,1,0,1,4,4,2,4,3,4,2,3,3,2,3,4,4,1,3,3,4,2,1,3,3,3,6
1,2,2,0,1,1,2,2,2,2,2,2,2,1,1,0,2,0,1,1,0,0,1,4,4,1,3,3,4,2,3,3,3,4,4,4,1,3,3,2,1,1,2,1,4,4
1,2,2,0,5,2,2,2,2,2,2,2,3,1,2,0,2,0,0,0,2,2,2,3,2,2,3,3,3,2,3,3,1,2,3,3,1,3,3,3,1,2,2,3,1,4
1,2,2,0,2,1,1,1,2,1,2,2,1,1,2,0,2,0,0,0,0,0,1,3,4,1,3,4,4,1,4,3,1,4,4,4,2,3,3,4,2,1,3,4,3,6
1,2,2,0,5,1,1,1,1,2,2,2,2,1,1,1,2,2,2,1,2,1,1,4,4,3,4,4,4,2,2,3,1,4,4,4,1,4,4,4,2,2,4,4,4,6
1,2,2,0,2,1,1,1,2,2,2,2,2,1,1,0,0,0,0,0,0,0,1,4,4,1,4,4,4,2,2,4,1,3,4,4,1,4,4,4,3,3,4,2,4,1
1,2,2,0,5,1,2,1,1,1,2,1,2,2,2,1,2,2,2,1,2,2,1,4,4,3,3,4,4,3,4,3,3,4,4,4,3,3,3,4,3,3,3,3,3,4
1,2,2,0,5,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,4,4,2,4,2,4,3,3,3,4,4,4,4,3,4,4,4,3,4,4,3,4,2
1,2,2,0,1,1,2,1,2,2,2,2,1,1,1,0,0,0,0,2,0,2,1,4,4,2,3,3,3,2,1,2,3,1,3,4,1,4,4,4,1,1,2,2,4,4
1,2,2,0,2,2,1,1,1,2,2,1,1,1,1,0,1,0,0,0,0,0,1,3,3,2,3,3,3,2,1,2,1,1,3,3,3,3,3,3,2,2,2,2,3,1
1,1,2,0,5,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4
1,2,2,0,5,1,1,2,1,2,2,2,2,1,1,0,0,0,0,0,0,0,1,4,4,2,4,3,3,4,3,4,3,4,4,4,1,4,4,4,3,3,3,3,4,6
1,2,2,0,1,2,1,1,2,2,2,2,2,1,1,1,2,2,2,1,2,1,1,3,4,4,3,4,4,3,3,4,3,3,4,3,3,3,3,3,4,4,4,4,4,1
1,2,2,3,1,2,2,1,1,1,1,1,1,1,1,2,1,2,2,1,1,2,1,3,3,1,3,1,3,1,2,3,3,3,3,3,2,3,3,3,2,3,3,2,3,1
1,2,2,0,2,1,2,1,2,1,2,1,2,1,1,0,2,0,1,2,0,0,1,3,4,1,3,3,4,2,3,2,2,2,4,4,1,4,4,4,2,1,1,4,4,5
1,2,2,0,5,2,1,2,1,2,2,2,2,1,1,2,1,2,2,1,1,2,2,3,2,2,2,3,3,2,2,3,1,1,2,3,1,2,2,2,2,1,2,2,2,4
1,2,2,0,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,0,2,1,3,3,1,3,3,3,3,1,3,2,1,3,3,3,3,3,3,3,1,3,1,3,5
1,2,2,0,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,1
1,2,2,0,1,1,1,2,2,2,2,2,2,1,1,0,1,0,0,0,0,0,2,4,4,1,4,3,4,1,4,3,4,2,4,4,1,4,4,4,2,3,2,1,3,4
1,1,2,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,2,3,2,3,2,2,3,1,2,1,3,1,2,2,1,1,1,3,2,1,5
4,1,2,3,1,1,1,2,2,2,2,2,1,1,1,0,0,0,0,1,1,2,2,4,4,3,3,1,3,3,1,4,1,4,4,4,3,3,3,4,3,3,3,3,3,4
1,1,2,0,1,1,2,1,2,2,2,2,2,1,1,1,2,2,1,1,2,1,1,4,3,3,1,4,3,4,3,3,1,1,4,4,1,4,4,3,1,2,4,2,3,2
1,1,2,0,2,1,1,2,2,1,1,1,2,1,2,1,1,2,1,1,2,2,1,4,4,4,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2
2,2,2,3,2,2,2,1,1,1,2,1,3,1,1,0,2,0,0,1,2,0,2,4,4,1,4,3,3,3,1,3,3,3,4,4,4,4,4,4,3,2,4,1,1,2
3,2,2,0,1,1,2,1,2,2,2,2,1,1,1,1,2,2,2,1,1,2,2,3,3,1,3,2,3,1,1,3,1,2,3,3,1,3,3,3,1,1,2,1,1,1
1,2,2,0,1,1,2,2,2,1,2,2,2,2,1,0,2,0,0,1,0,0,1,4,4,2,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3
